326,334,334,332,330,322,320,320,316,312,312,308,306,306,308,314,318,322,322,324,322,328,328,328
322,322,320,318,322,310,306,306,302,300,294,294,298,298,302,302,302,298,306,306,302,308,312,316
306,306,302,320,306,294,292,286,286,284,282,280,282,284,286,286,286,288,288,292,296,300,300,302
292,286,286,290,286,282,282,282,280,276,276,276,272,270,270,272,274,274,274,278,280,282,284,288
278,272,270,270,272,272,276,272,268,266,266,264,264,262,264,264,264,266,264,266,272,274,274,276
264,266,264,262,262,260,262,264,262,258,258,256,254,254,256,256,256,258,258,260,262,266,268,276
256,258,256,258,254,256,256,258,256,254,254,254,254,252,252,252,254,254,254,256,258,260,264,266
252,252,254,254,254,252,252,254,252,254,252,254,250,250,252,252,252,250,252,252,254,254,258,260
250,250,250,250,252,252,254,250,250,254,254,254,252,252,250,250,250,250,250,252,254,252,256,256
252,248,248,248,248,248,248,250,248,248,250,252,252,252,250,250,250,250,250,252,252,252,252,254
252,250,248,248,250,248,250,250,252,252,254,252,252,252,254,254,252,252,250,252,250,252,252,252
248,246,250,252,250,252,252,250,250,252,252,254,252,252,252,254,252,250,252,252,254,254,254,254
250,246,248,248,250,248,250,250,250,250,252,252,254,250,252,252,254,254,252,250,254,252,254,254
250,250,250,250,252,250,250,250,250,250,250,252,252,252,252,254,254,252,250,252,252,254,252,254
252,252,250,252,252,252,252,254,254,254,254,254,254,250,252,250,250,250,250,248,246,250,254,254
250,250,250,250,252,252,250,252,252,252,252,254,254,248,246,250,246,246,248,250,248,248,246,250
246,248,248,248,248,248,248,248,246,248,250,248,252,250,250,248,248,246,248,250,246,248,248,250
244,244,244,246,244,246,244,246,246,246,246,246,248,252,248,248,246,246,248,248,248,248,248,250
242,242,242,242,244,244,244,244,246,244,244,246,246,248,248,246,248,248,248,250,250,250,252,252
242,244,244,242,242,242,242,244,244,244,244,246,246,248,250,246,250,248,248,252,252,252,252,252
242,244,244,244,244,244,242,244,242,242,244,246,246,246,248,250,244,242,246,246,246,250,248,252
246,246,246,246,244,244,246,246,244,246,246,244,246,246,244,246,246,250,242,248,248,250,248,246
244,244,246,246,246,244,246,244,246,246,244,244,246,244,242,244,242,248,244,244,246,244,246,246
244,246,246,246,248,246,246,248,246,248,248,246,244,244,244,244,244,242,246,248,246,246,246,248
